URL,Title,Publication Date
https://www.rtlnieuws.nl,N/A,N/A
https://www.rtlnieuws.nl/weer,N/A,N/A
https://www.rtlnieuws.nl/verkeer,N/A,N/A
https://www.rtlnieuws.nl/,N/A,N/A
https://www.rtlnieuws.nl/net-binnen,N/A,N/A
https://www.rtlnieuws.nl/nieuws/nederland,N/A,N/A
https://www.rtlnieuws.nl/buitenland,N/A,N/A
https://www.rtlnieuws.nl/politiek,N/A,N/A
https://www.rtlnieuws.nl/nieuws/opmerkelijk,N/A,N/A
https://www.rtlnieuws.nl/columns,N/A,N/A
https://www.rtlnieuws.nl/economie,N/A,N/A
https://www.rtlnieuws.nl/sport,N/A,N/A
https://www.rtlnieuws.nl/sport/voetbal,N/A,N/A
https://www.rtlnieuws.nl/sport/darts,N/A,N/A
https://www.rtlnieuws.nl/sport/gp,N/A,N/A
https://www.rtlnieuws.nl/entertainment,N/A,N/A
https://www.rtlnieuws.nl/tech,N/A,N/A
https://www.rtlnieuws.nl/lifestyle,N/A,N/A
https://www.rtlnieuws.nl/lifestyle/mensen,N/A,N/A
https://www.rtlnieuws.nl/lifestyle/gezondheid,N/A,N/A
https://www.rtlnieuws.nl/lifestyle/gezin,N/A,N/A
https://www.rtlnieuws.nl/lifestyle/liefde-leven,N/A,N/A
https://www.rtlnieuws.nl/lifestyle/wonen,N/A,N/A
https://www.rtlnieuws.nl/lifestyle/eten,N/A,N/A
https://www.rtlnieuws.nl/lifestyle/reizen-uitjes,N/A,N/A
https://www.rtlnieuws.nl/editienl,N/A,N/A
https://www.rtlnieuws.nl/uitzendingen/rtlnieuws,N/A,N/A
https://www.rtlnieuws.nl/zoeken,N/A,N/A
https://www.rtlnieuws.nl/instellingen,N/A,N/A
https://www.rtlnieuws.nl/uitzendingen,N/A,N/A
https://www.rtlnieuws.nl/entertainment/video/5410937/olof-uit-bb-vol-liefde-en-vriendin-margje-vertellen-waarom-ze-elkaar-zo,N/A,2 oktober 2023 19:42
https://www.rtlnieuws.nl/tags/onderwerpen/media/televisie/tv-programma/bb-vol-liefde,N/A,N/A
https://www.rtlnieuws.nl/tags/onderwerpen/media/televisie/tv-programma,N/A,N/A
https://www.rtlnieuws.nl/tags/onderwerpen/media/televisie,N/A,N/A
https://www.rtlnieuws.nl/tags/onderwerpen/media,N/A,N/A
https://www.rtlnieuws.nl/tags/onderwerpen/media/journalistiek,N/A,N/A
https://www.rtlnieuws.nl/tags/onderwerpen/media/journalistiek/nepnieuws,N/A,N/A
https://www.rtlnieuws.nl/nieuws/buitenland/artikel/5393402/poetin-omhelst-en-kust-zijn-fans-hoe-echt-zijn-deze-beelden,Heeft Poetin een dubbelganger? 'Deze beelden zijn wel verdacht',29 juni 2023 18:17
https://www.rtlnieuws.nl/tags/personen/lotje-van-den-dungen,N/A,N/A
https://www.rtlnieuws.nl/nieuws/buitenland/artikel/5410252/hoe-het-eraan-toe-gaat-de-nieuwe-isoleercel-van-navalny,Hoe het eraan toe gaat in de nieuwe isoleercel van Navalny: 'Benen breken en waterboarden',1 oktober 2023 07:36
https://www.rtlnieuws.nl/nieuws/buitenland/artikel/5399978/navalny-rusland-kremlin-schijnproces-politiek-oppositie,Russische oppositieleider Navalny in nieuw schijnproces veroordeeld tot nog eens 19 jaar cel,4 augustus 2023 16:44
https://www.rtlnieuws.nl/nieuws/buitenland/artikel/5391445/poetin-navalny-criticus-rechtspraak-rusland-totale-farce,"Navalny weer voor rechter, maar uitkomst staat al vast: 'Totale poppenkast'",19 juni 2023 15:26
https://www.rtlnieuws.nl/tags/personen/thomas-van-den-elshout,N/A,N/A
https://www.rtlnieuws.nl/nieuws/buitenland/artikel/5410477/wagner-groep-berucht-oekraine-terug-nieuwe-baas-trosjev,"Beruchte Wagnergroep is terug, met een nieuwe baas",30 september 2023 06:53
https://www.rtlnieuws.nl/nieuws/buitenland/artikel/5392763/wagner-groep-ontmanteld-oorlog-oekraine-rusland-poetin,Wagner Groep blijft ondanks muiterij waarschijnlijk bestaan,26 juni 2023 16:50
https://www.rtlnieuws.nl/nieuws/buitenland/artikel/5392620/wagner-poetin-prigozjin-rusland-moskou-oorlog-oekraine-opstand,Actie Wagner 'klap in gezicht' Poetin: 'Toenemende onrust in Rusland',25 juni 2023 19:40
https://www.rtlnieuws.nl/nieuws/buitenland/artikel/5392523/huurlingenleger-wagner-staatsgreep-moskou-rostov-prigozjin,"Lees terug: na dag vol onverwachte wendingen, wordt Prigozjin verbannen",24 juni 2023 22:06
https://www.rtlnieuws.nl/tags/personen/jevgeni-prigozjin,N/A,N/A
https://www.rtlnieuws.nl/nieuws/buitenland/artikel/5404756/rusland-poetin-prigozjin-wagner-crash-geheime-dienst,Rusland wil geen internationaal onderzoek naar crash Wagnerbaas Prigozjin,30 augustus 2023 13:45
https://www.rtlnieuws.nl/nieuws/buitenland/artikel/5404641/jevgeni-prigozjin-wagner-vladimir-poetin-kremlin-witte-huis,"Witte Huis suggereert betrokkenheid Kremlin bij dood Prigozjin, Wagner-baas begraven",29 augustus 2023 21:53
